host,ip,port,protocol,title,domain,country,city,link,org
183.111.253.174,183.111.253.174,80,http,403 Forbidden,,KR,Seongnam,http://183.111.253.174,Korea Telecom
https://14.42.193.21:12345,14.42.193.21,12345,https,403 Forbidden,,KR,Seongnam,https://14.42.193.21:12345,Korea Telecom
https://119.203.153.186:12143,119.203.153.186,12143,https,403 Forbidden,,KR,Seongnam,https://119.203.153.186:12143,Korea Telecom
121.188.14.81:12143,121.188.14.81,12143,http,,,KR,Seongnam,http://121.188.14.81:12143,Korea Telecom
https://220.73.75.74:12143,220.73.75.74,12143,https,403 Forbidden,,KR,Seongnam,https://220.73.75.74:12143,Korea Telecom
https://121.154.156.72:50001,121.154.156.72,50001,https,403 Forbidden,,KR,Seongnam,https://121.154.156.72:50001,Korea Telecom
https://119.193.54.164:50001,119.193.54.164,50001,https,403 Forbidden,,KR,Goyang,https://119.193.54.164:50001,Korea Telecom
220.94.153.192:12143,220.94.153.192,12143,http,,,KR,Seongnam,http://220.94.153.192:12143,Korea Telecom
https://220.124.144.20:12142,220.124.144.20,12142,https,403 Forbidden,,KR,Seongnam,https://220.124.144.20:12142,Korea Telecom
https://218.156.212.127:12142,218.156.212.127,12142,https,403 Forbidden,,KR,Seongnam,https://218.156.212.127:12142,Korea Telecom
https://121.128.107.69:12142,121.128.107.69,12142,https,403 Forbidden,,KR,Seongnam,https://121.128.107.69:12142,Korea Telecom
https://183.100.213.59:12142,183.100.213.59,12142,https,403 Forbidden,,KR,Seongnam,https://183.100.213.59:12142,Korea Telecom
https://211.216.126.146:50000,211.216.126.146,50000,https,403 Forbidden,,KR,Namdong,https://211.216.126.146:50000,Korea Telecom
https://125.133.215.147:12141,125.133.215.147,12141,https,403 Forbidden,,KR,Seongnam,https://125.133.215.147:12141,Korea Telecom
https://218.145.234.206:18102,218.145.234.206,18102,https,403 Forbidden,,KR,Seongnam,https://218.145.234.206:18102,Korea Telecom
https://183.99.44.52:50000,183.99.44.52,50000,https,403 Forbidden,,KR,Seongnam,https://183.99.44.52:50000,Korea Telecom
https://59.16.75.225:12142,59.16.75.225,12142,https,403 Forbidden,,KR,Bucheon,https://59.16.75.225:12142,Korea Telecom
https://175.199.46.179:50001,175.199.46.179,50001,https,403 Forbidden,,KR,Seongnam,https://175.199.46.179:50001,Korea Telecom
https://121.145.134.131:12141,121.145.134.131,12141,https,403 Forbidden,,KR,Seongnam,https://121.145.134.131:12141,Korea Telecom
https://211.57.29.229:12141,211.57.29.229,12141,https,403 Forbidden,,KR,Seoul,https://211.57.29.229:12141,Korea Telecom
https://222.113.18.214:12141,222.113.18.214,12141,https,403 Forbidden,,KR,Seongnam,https://222.113.18.214:12141,Korea Telecom
https://14.35.27.166:12140,14.35.27.166,12140,https,403 Forbidden,,KR,Ansan,https://14.35.27.166:12140,Korea Telecom
https://14.43.84.254:12140,14.43.84.254,12140,https,403 Forbidden,,KR,Seongnam,https://14.43.84.254:12140,Korea Telecom
https://125.137.186.95:38519,125.137.186.95,38519,https,403 Forbidden,,KR,Seongnam,https://125.137.186.95:38519,Korea Telecom
https://112.184.209.63:10003,112.184.209.63,10003,https,403 Forbidden,,KR,Sokcho,https://112.184.209.63:10003,Korea Telecom
https://112.185.223.152:50001,112.185.223.152,50001,https,403 Forbidden,,KR,Seongnam,https://112.185.223.152:50001,Korea Telecom
https://220.70.146.99:23352,220.70.146.99,23352,https,403 Forbidden,,KR,Seongnam,https://220.70.146.99:23352,Korea Telecom
https://210.223.3.21:12139,210.223.3.21,12139,https,403 Forbidden,,KR,Seongnam,https://210.223.3.21:12139,Korea Telecom
https://59.18.187.167:50001,59.18.187.167,50001,https,403 Forbidden,,KR,Seongnam,https://59.18.187.167:50001,Korea Telecom
https://211.51.199.88:12140,211.51.199.88,12140,https,403 Forbidden,,KR,Seongnam,https://211.51.199.88:12140,Korea Telecom
https://112.187.91.249:32677,112.187.91.249,32677,https,403 Forbidden,,KR,Seongnam,https://112.187.91.249:32677,Korea Telecom
https://121.152.127.130:12140,121.152.127.130,12140,https,403 Forbidden,,KR,Seongnam,https://121.152.127.130:12140,Korea Telecom
https://211.55.213.199:35342,211.55.213.199,35342,https,403 Forbidden,,KR,Seongnam,https://211.55.213.199:35342,Korea Telecom
https://183.101.8.97:25105,183.101.8.97,25105,https,403 Forbidden,,KR,Seongnam,https://183.101.8.97:25105,Korea Telecom
https://220.89.140.11:12138,220.89.140.11,12138,https,403 Forbidden,,KR,Seongnam,https://220.89.140.11:12138,Korea Telecom
https://220.76.29.45:50001,220.76.29.45,50001,https,403 Forbidden,,KR,Seongnam,https://220.76.29.45:50001,Korea Telecom
https://61.77.0.25:12139,61.77.0.25,12139,https,403 Forbidden,,KR,Seongnam,https://61.77.0.25:12139,Korea Telecom
https://221.144.97.108:12138,221.144.97.108,12138,https,403 Forbidden,,KR,Seongnam,https://221.144.97.108:12138,Korea Telecom
https://121.153.173.117:50001,121.153.173.117,50001,https,403 Forbidden,,KR,Seongnam,https://121.153.173.117:50001,Korea Telecom
https://121.133.44.81:50000,121.133.44.81,50000,https,403 Forbidden,,KR,Guri,https://121.133.44.81:50000,Korea Telecom
https://121.144.201.72:12137,121.144.201.72,12137,https,403 Forbidden,,KR,Busan,https://121.144.201.72:12137,Korea Telecom
https://59.31.58.198:50000,59.31.58.198,50000,https,403 Forbidden,,KR,Seoul,https://59.31.58.198:50000,Korea Telecom
https://119.201.52.177:12137,119.201.52.177,12137,https,403 Forbidden,,KR,Daegu,https://119.201.52.177:12137,Korea Telecom
https://59.26.208.19:12137,59.26.208.19,12137,https,403 Forbidden,,KR,Seongnam,https://59.26.208.19:12137,Korea Telecom
https://118.46.24.50:50001,118.46.24.50,50001,https,403 Forbidden,,KR,Cheongju,https://118.46.24.50:50001,Korea Telecom
https://118.46.37.203:50000,118.46.37.203,50000,https,403 Forbidden,,KR,Seongnam,https://118.46.37.203:50000,Korea Telecom
https://220.83.182.223:50001,220.83.182.223,50001,https,403 Forbidden,,KR,Seongnam,https://220.83.182.223:50001,Korea Telecom
https://211.251.24.52:12137,211.251.24.52,12137,https,403 Forbidden,,KR,Seongnam,https://211.251.24.52:12137,Korea Telecom
https://125.129.212.17:12136,125.129.212.17,12136,https,403 Forbidden,,KR,Seongnam,https://125.129.212.17:12136,Korea Telecom
